id;login;password_hash;first_name;last_name;email;image_url;activated;lang_key;created_by;last_modified_by
1;system;$2a$10$mE.qmcV0mFU5NcKh73TZx.z4ueI/.bDWbj0T1BYyqP481kGGarKLG;System;System;system@localhost;;true;en;system;system
2;anonymoususer;$2a$10$j8S5d7Sr7.8VTOYNviDPOeWX8KcYILUVJBsYV83Y5NtECayypx9lO;Anonymous;User;anonymous@localhost;;true;en;system;system
3;admin;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Administrator;Administrator;admin@localhost;;true;en;system;system
4;user;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User;User;user@localhost;;true;en;system;system
5;publicwebsite;$2a$10$a3tS7rDNLnYk5ZLdWyBKZuxfTtFu3F2mQiJYgtffAqCL5zwggjFpq;Public Website;Public Website;public_website@localhost;;true;en;system;system
6;bot;$2a$10$IeCYRhDqkjM53ZWxDsQrMe1o.S.UnJt/XUbu2ym.HOK.9q59cXP.C;Bot;Bot;bot@localhost;;true;en;system;system
7;bot7;$2a$10$IeCYRhDqkjM53ZWxDsQrMe1o.S.UnJt/XUbu2ym.HOK.9q59cXP.C;Bot;Bot;bot7@localhost;;TRUE;en;system;system
8;bot8;$2a$10$IeCYRhDqkjM53ZWxDsQrMe1o.S.UnJt/XUbu2ym.HOK.9q59cXP.C;Bot;Bot;bot8@localhost;;TRUE;en;system;system
9;bot9;$2a$10$IeCYRhDqkjM53ZWxDsQrMe1o.S.UnJt/XUbu2ym.HOK.9q59cXP.C;Bot;Bot;bot9@localhost;;TRUE;en;system;system
10;bot10;$2a$10$IeCYRhDqkjM53ZWxDsQrMe1o.S.UnJt/XUbu2ym.HOK.9q59cXP.C;Bot;Bot;bot10@localhost;;TRUE;en;system;system
11;bot11;$2a$10$IeCYRhDqkjM53ZWxDsQrMe1o.S.UnJt/XUbu2ym.HOK.9q59cXP.C;Bot;Bot;bot11@localhost;;TRUE;en;system;system
12;bot12;$2a$10$IeCYRhDqkjM53ZWxDsQrMe1o.S.UnJt/XUbu2ym.HOK.9q59cXP.C;Bot;Bot;bot12@localhost;;TRUE;en;system;system
13;bot13;$2a$10$IeCYRhDqkjM53ZWxDsQrMe1o.S.UnJt/XUbu2ym.HOK.9q59cXP.C;Bot;Bot;bot13@localhost;;TRUE;en;system;system
14;bot14;$2a$10$IeCYRhDqkjM53ZWxDsQrMe1o.S.UnJt/XUbu2ym.HOK.9q59cXP.C;Bot;Bot;bot14@localhost;;TRUE;en;system;system
15;bot15;$2a$10$IeCYRhDqkjM53ZWxDsQrMe1o.S.UnJt/XUbu2ym.HOK.9q59cXP.C;Bot;Bot;bot15@localhost;;TRUE;en;system;system
16;bot16;$2a$10$IeCYRhDqkjM53ZWxDsQrMe1o.S.UnJt/XUbu2ym.HOK.9q59cXP.C;Bot;Bot;bot16@localhost;;TRUE;en;system;system
17;bot17;$2a$10$IeCYRhDqkjM53ZWxDsQrMe1o.S.UnJt/XUbu2ym.HOK.9q59cXP.C;Bot;Bot;bot17@localhost;;TRUE;en;system;system
18;bot18;$2a$10$IeCYRhDqkjM53ZWxDsQrMe1o.S.UnJt/XUbu2ym.HOK.9q59cXP.C;Bot;Bot;bot18@localhost;;TRUE;en;system;system
19;bot19;$2a$10$IeCYRhDqkjM53ZWxDsQrMe1o.S.UnJt/XUbu2ym.HOK.9q59cXP.C;Bot;Bot;bot19@localhost;;TRUE;en;system;system
20;bot20;$2a$10$IeCYRhDqkjM53ZWxDsQrMe1o.S.UnJt/XUbu2ym.HOK.9q59cXP.C;Bot;Bot;bot20@localhost;;TRUE;en;system;system
21;bot21;$2a$10$IeCYRhDqkjM53ZWxDsQrMe1o.S.UnJt/XUbu2ym.HOK.9q59cXP.C;Bot;Bot;bot21@localhost;;TRUE;en;system;system
22;bot22;$2a$10$IeCYRhDqkjM53ZWxDsQrMe1o.S.UnJt/XUbu2ym.HOK.9q59cXP.C;Bot;Bot;bot22@localhost;;TRUE;en;system;system
23;bot23;$2a$10$IeCYRhDqkjM53ZWxDsQrMe1o.S.UnJt/XUbu2ym.HOK.9q59cXP.C;Bot;Bot;bot23@localhost;;TRUE;en;system;system
24;bot24;$2a$10$IeCYRhDqkjM53ZWxDsQrMe1o.S.UnJt/XUbu2ym.HOK.9q59cXP.C;Bot;Bot;bot24@localhost;;TRUE;en;system;system
25;bot25;$2a$10$IeCYRhDqkjM53ZWxDsQrMe1o.S.UnJt/XUbu2ym.HOK.9q59cXP.C;Bot;Bot;bot25@localhost;;TRUE;en;system;system
26;bot26;$2a$10$IeCYRhDqkjM53ZWxDsQrMe1o.S.UnJt/XUbu2ym.HOK.9q59cXP.C;Bot;Bot;bot26@localhost;;TRUE;en;system;system
27;bot27;$2a$10$IeCYRhDqkjM53ZWxDsQrMe1o.S.UnJt/XUbu2ym.HOK.9q59cXP.C;Bot;Bot;bot27@localhost;;TRUE;en;system;system
28;bot28;$2a$10$IeCYRhDqkjM53ZWxDsQrMe1o.S.UnJt/XUbu2ym.HOK.9q59cXP.C;Bot;Bot;bot28@localhost;;TRUE;en;system;system
